"allergen_code","allergy_category_code","id","allergen_fsn","allergy_category_fsn","preferred_term_en","preferred_term_pt","synonym_1","synonym_2"
"256292005","115668003","238","Flower and weed pollen (substance)","Biological substance (substance)","Flower and weed pollen","Pólen de flores e ervas daninhas"," "," "
"255620007","762766007","239","Food (substance)","Edible substance (substance)","Food","Comida"," "," "
"59533004","762766007","240","Food additive (substance)","Edible substance (substance)","Food additive","Aditivo alimentar","Suplemento alimentar"," "
"406465008","0","241","Food allergen (substance)"," ","Food allergen","Outro alimento","Outro alergénio alimentar"," "
"80259003","762766007","242","Food flavoring agent (substance)","Edible substance (substance)","Food flavoring agent","Agente aromatizante de alimentos"," "," "
"51386004","762766007","243","Food preservative (substance)","Edible substance (substance)","Food preservative","Conservante alimentar"," "," "
"1264513008","115668003","244","Fraxinus excelsior pollen (substance)","Biological substance (substance)","Fraxinus excelsior pollen","Pólen de Fraxinus excelsior","Pólen de freixo-europeu"," "
"58202007","115668003","245","Fructose (substance)","Biological substance (substance)","Fructose","Frutose "," "," "
"72511004","762766007","246","Fruit (substance)","Edible substance (substance)","Fruit","Fruta"," "," "
"788778006","115668003","247","Galactose","Biological substance (substance)","Galactose","Galactose"," "," "
"735030001","762766007","248","Garlic (substance)","Edible substance (substance)","Garlic","Alho"," "," "
"373531009","762766007","249","Gelatin (substance)","Edible substance (substance)","Gelatin","Gelatina"," "," "
"412149007","115668003","250","Gerbil epithelium (substance)","Biological substance (substance)","Gerbil epithelium","Epitélio de gerbo","Epitélio de gerbil","Epitélio de-esquilo da-mongólia"
"710930006","115668003","251","German cockroach protein (substance)","Biological substance (substance)","German cockroach protein","Proteína da barata-germânica"," "," "
"260106002","115668003","252","Giant ragweed pollen (substance)","Biological substance (substance)","Giant ragweed pollen","Pólen de ambrósia gigante"," "," "
"227400003","762766007","253","Ginger (substance)","Edible substance (substance)","Ginger","Gengibre"," "," "
"57126000","37877001","254","Glue (substance)","Environmental agent (qualifier value)","Glue ","Cola "," "," "
